,代號,名稱
1414,4994,傳奇
1415,4995,晶達
1416,4999,鑫禾
1417,5007,三星
1418,5009,榮剛
1419,5011,久陽
1420,5013,強新
1421,5014,建錩
1422,5015,華祺
1423,5016,松和
1424,5102,富強
1425,5201,凱衛
1426,5202,力新
1427,5203,訊連
1428,5205,中茂
1429,5206,坤悅
1430,5209,新鼎
1431,5210,寶碩
1432,5211,蒙恬
1433,5212,凌網
1434,5213,亞昕
1435,5215,科嘉-KY
1436,5216,優燈
1437,5220,萬達光電
1438,5222,全訊
1439,5223,安力-KY
1440,5225,東科-KY
1441,5227,立凱-KY
1442,5228,鈺鎧
1443,5230,雷笛克光學
1444,5233,有量
1445,5234,達興材料
1446,5240,建騰
1447,5243,乙盛-KY
1448,5244,弘凱
1449,5245,智晶
1450,5248,景傳
1451,5251,天鉞電
1452,5254,欣訊科技
1453,5258,虹堡
1454,5262,立達
1455,5263,智崴
1456,5264,鎧勝-KY
1457,5267,龍翩
1458,5269,祥碩
1459,5271,紘通
1460,5272,笙科
1461,5274,信驊
1462,5276,達輝-KY
1463,5277,葳天
1464,5278,尚凡
1465,5281,大峽谷-KY
